id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
75065,Bay cottage on Passamaquoddy bay,397069,Bob,Charlotte,Saint Andrews,45.13241,-67.04725,Entire home/apt,238,2,32,2022-03-04,0.39,1,273,14,
145013,Lobster Lane Cottage: private beach,642972,Jennifer,Kent,Dundas,46.32857,-64.52445,Entire home/apt,150,7,8,2020-08-23,0.09,1,281,0,
261800,Furnished Executive Close to City,1373498,Usha,Saint John,City of Saint John,45.27727,-66.0604,Entire home/apt,100,2,49,2022-01-03,0.69,1,273,5,
791070,Private room in a friendly home!,72953,Stephen,Westmorland,Sackville,45.894821,-64.376556,Private room,61,1,58,2021-11-13,0.54,1,261,8,
872640,Acadian Isle Retreat - Heron Haven,2189998,Danielle,Gloucester,Shippagan,47.86785,-64.52187,Entire home/apt,135,7,3,2019-08-18,0.03,1,330,0,
905910,"2 bedroom bungalow ideal - tv, movie film location",4847531,Forsale,Queens,Cambridge,45.85825,-66.11696,Entire home/apt,130,7,0,,,1,358,0,
950843,"Centrally located  3 bdrm  home , bkfst items",3032106,Gerry,Westmorland,Moncton,46.10555,-64.81432,Entire home/apt,131,5,205,2022-01-28,1.96,2,315,16,
1199731,"Beautiful Victorian Mansion, Superior Suite",6540753,Chipman Hill Suites,Saint John,City of Saint John,45.27233,-66.05694,Private room,180,1,130,2021-09-06,1.28,7,352,4,
1210065,Gagetown Boathouse a waterfront year-round retreat,6608327,Derek,Queens,Gagetown,45.78008,-66.14374,Entire home/apt,198,2,3,2021-10-16,0.34,2,170,3,
1242493,Parlour Room,6772314,Dwight & Cheryl,Saint John,City of Saint John,45.27358,-66.05307,Private room,125,1,47,2021-09-22,0.56,10,247,8,
1264655,"The Maples, NB Country Farmhouse",6885464,Gary,York,Bright,45.97722,-66.84614,Entire home/apt,141,3,143,2022-02-27,1.36,1,355,10,
1266591,"Beautiful King Suite, Victorian Mansion",6540753,Chipman Hill Suites,Saint John,City of Saint John,45.27406,-66.05772,Private room,185,1,80,2022-02-26,0.98,7,348,10,
1489389,"Midpoint to  Moncton, Saint John or Fredericton",7964165,Sharon,Kings,Springfield,45.64933,-65.8593,Private room,35,1,67,2021-11-19,0.81,4,330,4,
1806151,"Waterfront cottage, relaxing and fun get away!",4253971,Roxanne,Kent,Richibucto,46.68234,-64.80627,Entire home/apt,133,2,122,2021-11-30,1.29,1,151,31,
2148508,Near Fundy - Country Guest House,7964165,Sharon,Kings,Springfield,45.64943,-65.86004,Private room,35,1,140,2022-03-13,1.43,4,318,16,
2535589,Old Launch Ways - Family Cottage,4602006,Alec,Kings,Kingston,45.44755,-66.00487,Entire home/apt,150,7,44,2020-08-08,0.46,1,209,0,
2550351,Counting sheep guest suites #1 (adult only),12298363,Heather And Joey,Albert,Hillsborough,45.94133,-64.66544,Entire home/apt,150,2,49,2021-01-05,0.86,3,143,0,
2558458,Music of the Trees - Near the Sea,12963726,Sandra,Northumberland,Alnwick,47.1967,-65.14315,Entire home/apt,60,3,60,2021-11-30,0.73,1,193,4,
2597511,"Suite #3,  downtown Superhost.",13302046,Victoria,York,Fredericton,45.95745,-66.63637,Entire home/apt,99,15,298,2022-03-25,3.22,5,266,2,
2664825,Victorian Apartment Close to Uptown,6772314,Dwight & Cheryl,Saint John,City of Saint John,45.27354,-66.05299,Private room,160,1,50,2020-01-26,0.59,10,86,0,
2745462,Oceanfront Cottage - Paradise Point,14045406,Shannon,Charlotte,Saint George,45.0635,-66.82176,Entire home/apt,120,2,192,2021-10-31,2.02,1,226,13,
3112270,Bay of Fundy Oceanfront Retreat,2714886,Karen,Saint John,Musquash,45.11858,-66.37346,Entire home/apt,375,3,0,,,1,2,0,
3164623,"Studio#2 Downtown,  Superhost",13302046,Victoria,York,Fredericton,45.95817,-66.63426,Entire home/apt,120,1,302,2022-02-03,3.20,5,271,3,
3217193,Harris Hatch - Starfish Suite,16292752,Karen,Charlotte,Saint Andrews,45.0754,-67.05535,Entire home/apt,148,2,61,2021-09-02,0.65,2,234,20,
3260745,"Skyline Resort with Pool, Hot Tub & Tiki Hut! Db",16489649,Francis,York,Fredericton,45.93823,-66.64044,Private room,100,1,78,2021-08-05,0.84,2,320,4,
