id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
138381,Bed & Breakfast La California,675584,Mary,,Sillery,46.76843,-71.26636,Private room,145,1,159,2022-02-08,1.22,3,342,12,
198548,Fabulous view - Central - Ideal work from home,960772,Marianne,,Saint-Roch,46.81169,-71.22522,Entire home/apt,150,30,52,2022-02-01,0.41,1,151,3,
214967,Au bord du fleuve/Beach house,1110010,Julie,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.80286,-71.21271,Private room,83,3,175,2022-03-04,1.50,1,75,13,
268812,Apartment Old city Quebec condo,1408583,Émilie,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81023,-71.21082,Entire home/apt,40,30,77,2019-02-07,0.61,1,0,0,
330502,Home sweet home!,1686119,Claire,,Vieux-Moulin,46.85134,-71.21403,Entire home/apt,89,3,33,2016-09-18,0.27,1,36,0,
517628,Entire Townhouse on Historic rue Champlain,2216595,Jennifer,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.80552,-71.20696,Entire home/apt,432,2,21,2021-12-30,0.66,1,8,6,
588889,Waterfront in Quebec City,2904660,Mariane,,Lac-Saint-Charles,46.93219,-71.38034,Entire home/apt,300,7,6,2021-08-15,0.10,2,38,2,
652815,The Québécoise   No d'établissement 138600,2479300,Marie-Denise,,Saint-Jean-Baptiste,46.80664,-71.22599,Private room,61,90,104,2019-12-30,0.90,3,193,0,
652950,SUPER VIEW  on the city- CITQ 138600,2479300,Marie-Denise,,Saint-Jean-Baptiste,46.80664,-71.22599,Private room,68,90,86,2020-02-17,0.74,3,119,0,
659635,Confortable TWIN BEDS with artistic walls,2479300,Marie-Denise,,Saint-Jean-Baptiste,46.80664,-71.22599,Private room,68,1,90,2020-02-19,0.78,3,66,0,
661569,Large Charming Room w/ View,675584,Mary,,Sillery,46.76978,-71.26591,Hotel room,145,1,79,2021-10-17,0.75,3,339,15,
760018,Bohème Contemporaine w parking - Citq#301838,4005779,Marie-Christine,,Vieux-Limoilou,46.82868,-71.22634,Entire home/apt,140,30,81,2022-03-04,0.72,1,50,13,
878309,Large and sunny apartment,4598359,Agnes,,Sillery,46.78341,-71.25123,Entire home/apt,75,32,30,2022-01-06,0.28,2,273,3,
878904,Charming studio,4598359,Agnes,,Sillery,46.7817,-71.25042,Entire home/apt,50,32,19,2021-06-30,0.18,2,213,1,
896581,"Québec, chambre avec vue partielle sur le Fleuve",4646399,Mélody,,Cap-Rouge,46.74721,-71.35105,Private room,120,2,6,2019-07-15,0.06,2,363,0,
975749,appart central avec parking 6 pers.,3704617,Atnae Et Pascal,,Saint-Sacrement,46.79359,-71.25751,Entire home/apt,75,29,49,2018-08-09,0.46,1,313,0,
997400,lovely appartement,5480680,Adriana,,Chutes-Montmorency,46.88356,-71.17293,Entire home/apt,68,2,494,2022-02-21,4.59,2,337,45,
1001559,Modern Montcalm condo (private parking),5508181,Simon,,Saint-Jean-Baptiste,46.80631,-71.22715,Entire home/apt,282,2,19,2021-12-27,0.43,1,0,14,302754
1014369,Pretty 4 fully furnished rooms,5580354,Jennifer,,Saint-Sauveur,46.81208,-71.23457,Entire home/apt,850,30,253,2021-12-16,2.32,1,226,2,
1094871,"Perfect location, heart of Qc City!",6015223,Guillaume,,Saint-Jean-Baptiste,46.80669,-71.22328,Entire home/apt,95,3,140,2019-09-02,1.34,1,0,0,
1103650,"3 bdr Home Old Quebec, Vieux-Quebec, 2 parkings",6060744,Sophie,,Saint-Jean-Baptiste,46.80844,-71.22057,Entire home/apt,250,6,27,2022-03-06,0.26,1,276,5,
1157303,En plein coeur du Vieux-Québec,6341801,Olivier,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81619,-71.21153,Entire home/apt,105,3,226,2020-02-10,2.13,1,90,0,
1406193,"Québec, qc Parc Victoria 4 1/2 c.e. meublé tv wifi",7586751,Mylène,,Saint-Sauveur,46.81401,-71.23619,Entire home/apt,200,240,77,2017-08-05,0.74,1,365,0,
1486117,Magnifique chambre Petit-Champlain,7927151,Denis,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81528,-71.20141,Private room,116,2,149,2022-02-13,1.43,7,11,15,
1486498,Magnificient room in historic Building Old Quebec,7927151,Denis,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81271,-71.20454,Private room,118,2,192,2021-12-05,1.93,7,8,18,
1486966,Cozy Room Petit-Champlain,7927151,Denis,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81294,-71.20367,Private room,112,2,166,2022-01-22,1.60,7,166,2,
1487080,Magnificient room Petit Champlain,7927151,Denis,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81398,-71.203,Private room,116,2,143,2022-03-13,1.37,7,26,12,
1487383,Amazing Appartment with a stunning view,7927151,Denis,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81076,-71.2064,Entire home/apt,200,2,229,2022-02-22,2.20,7,188,15,
1516068,Chambre dans maison privée,6137330,André,,Sillery,46.78447,-71.25825,Private room,20,31,21,2020-08-15,0.22,2,64,0,
1635571,Spacious room - 2 DOUBLE BEDS,8687028,Nicola,,Maizerets,46.83739,-71.22299,Private room,70,1,157,2022-02-28,1.65,8,196,41,
1645445,AMAZING 2STORIES CONDO IN OLDQUEBEC,8732163,Joe,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81568,-71.20777,Entire home/apt,245,28,113,2019-01-02,1.27,2,318,0,
1683632,appartement conjoint,8895388,Richard,,Saint-Jean-Baptiste,46.80696,-71.22751,Entire home/apt,150,2,95,2022-03-06,0.95,1,349,9,
1851589,Bright room near parc for skiing,8687028,Nicola,,Maizerets,46.83672,-71.22148,Private room,75,1,61,2021-12-27,0.64,8,197,31,
1863842,3 bdr appartment near attractions,1645012,Gaby,,Quartier 5-4,46.86202,-71.1895,Entire home/apt,160,2,232,2021-12-27,2.29,1,67,2,
1979239,Zen Room downtown Qc City,10214782,Véronika,,Saint-Sauveur,46.81187,-71.23208,Private room,53,2,327,2022-02-27,3.28,2,68,25,
2027990,"spacious, renovated room downtown 2",3927227,Paul,,Saint-Sacrement,46.79181,-71.24852,Private room,18,30,32,2021-12-22,0.32,3,261,2,
2076200,Modern with cachet-Condo Old Quebec,8732163,Joe,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81416,-71.20769,Entire home/apt,182,28,74,2021-10-02,0.75,2,338,1,
2165708,Chambre chaleureuse dans un logement lumineux,10969787,Julie-Anne,,Maizerets,46.84047,-71.21721,Private room,60,30,18,2015-08-10,0.19,2,41,0,
2203513,Cozy Studio in Central Quebec | Furnished,2874168,Brigitte / Ghislain,,Saint-Sacrement,46.79546,-71.2465,Entire home/apt,54,32,30,2021-12-31,0.37,1,271,2,
2578139,Large private room,6825502,André,,Sillery,46.78285,-71.25946,Private room,20,31,26,2021-01-09,0.27,2,219,0,
2691114,Jumelé à louer - Ville de Québec,13773452,Julie,,Neufchâtel-Est/Lebourgneuf,46.847672,-71.331841,Entire home/apt,121,30,32,2018-12-29,0.35,1,5,0,
2719825,"Apartment, room  basement",13891705,Daniel,,Maizerets,46.83823,-71.23241,Entire home/apt,28,2,27,2016-07-11,0.29,2,0,0,
2803587,Quebec city Loft /appartement,14339917,Tony,,Saint-Roch,46.813812,-71.225235,Entire home/apt,79,1,434,2021-12-27,4.61,1,55,36,
2815533,Heart of Old Quebec,14402481,Jacques,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81158,-71.21166,Entire home/apt,50,32,7,2021-12-03,0.27,1,162,5,
2854775,Littoral's Condo | Old Quebec and River view,14594594,Jonathan,,Quartier 5-4,46.85389,-71.18559,Hotel room,231,4,10,2019-08-05,0.12,5,365,0,
2930811,The most chosen Airbnb room in Quebec city,14966026,Maxim,,Saint-Sauveur,46.80956,-71.2417,Private room,71,1,972,2022-02-27,10.43,3,190,146,287066
3028706,Old-Port of Quebec city,15427139,Lyse,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.816685,-71.209061,Entire home/apt,47,31,6,2022-01-22,0.16,3,156,5,
3101045,1 bedroom apartment near Old Quebec,1646154,Dimitri,,Saint-Sauveur,46.81357,-71.23875,Entire home/apt,25,60,22,2019-08-28,0.24,7,160,0,
