id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
44419781,Studio Suite | Business Travel,348430184,Avalon,,Annex,43.67127,-79.39461,Entire home/apt,155,2,34,2022-01-30,1.86,33,308,21,STR-2011-HPXRVK
44429201,Beautiful & Cozy One Bedroom Condo In Yorkville!,354808129,Erin,,Annex,43.67142,-79.39487,Entire home/apt,120,30,3,2021-10-31,0.17,7,35,2,
44429908,Stylish Roncesvalles Private Suite w/ Tech Extras,37415518,Anthony,,Roncesvalles,43.64055,-79.43939,Entire home/apt,95,3,37,2022-02-04,2.78,1,117,35,STR-2012-FVZBHD
44430872,Newly Renovated 2nd floor Suite,358865808,Joe,,Weston-Pellam Park,43.66801,-79.45752,Entire home/apt,115,3,4,2022-01-02,1.08,1,79,4,STR-2110-FXJVHD
44433011,"Spacious, Cozy 1 Bedroom Loft in downtown Toronto",20355052,Turgut,,Regent Park,43.65806,-79.35499,Entire home/apt,160,28,0,,,1,29,0,
44434249,Zahid's Castle for four guests,358919585,Zahid,,Cliffcrest,43.71878,-79.25161,Entire home/apt,60,2,19,2021-06-26,0.94,1,0,6,STR-2010-HLPDPK
44434528,Quiet Midtown Home by the Park,83706136,Joanna,,Bridle Path-Sunnybrook-York Mills,43.71938,-79.36485,Entire home/apt,579,5,5,2021-12-29,0.32,1,74,4,STR-2012-HBDVHJ
44434883,Luxurious condo in the best location,109180103,Ge,,Waterfront Communities-The Island,43.64486,-79.39182,Private room,85,1,107,2022-02-13,5.72,18,0,71,STR-2011-FYXRVD
44443684,"Beautiful Palmerston Blvd, Unique 1 Bedroom",84721968,Hyla,,Palmerston-Little Italy,43.65953,-79.41193,Entire home/apt,90,29,10,2022-01-12,0.56,7,321,6,
44448724,Cozy private room in basement at Bibi’s house,128923077,Huong,,Humbermede,43.74853,-79.55445,Private room,55,28,0,,,1,179,0,
44450935,"Penthouse with Balcony, Stunning View! (301)",255601789,Ali,,Dovercourt-Wallace Emerson-Junction,43.66139,-79.44267,Entire home/apt,67,28,20,2021-07-05,1.03,10,341,1,
44451010,Brand new stylish Apartment (202),255601789,Ali,,Dovercourt-Wallace Emerson-Junction,43.66353,-79.4434,Entire home/apt,59,28,13,2021-01-21,0.68,10,189,0,
44458267,Spacious downtown condo in Little Italy,40520316,Jack,,Palmerston-Little Italy,43.65706,-79.40938,Entire home/apt,206,2,13,2022-02-13,0.83,1,67,8,STR-2106-GJGDVF
1419,Beautiful home in amazing area!,1565,Alexandra,,Little Portugal,43.6459,-79.42423,Entire home/apt,469,28,7,2017-12-04,0.09,1,0,0,
8077,Downtown Harbourfront Private Room,22795,Kathie & Larry,,Waterfront Communities-The Island,43.6408,-79.37673,Private room,96,180,169,2013-08-27,1.11,2,365,0,
23691,Queen Bedroom close to downtown,93825,Yohan & Sarah,,Briar Hill-Belgravia,43.69805,-79.45411,Private room,72,28,217,2019-12-22,1.51,2,365,0,
27423,Executive Studio Unit- Ideal for One Person,118124,Brent,,South Riverdale,43.66884,-79.32725,Entire home/apt,45,90,26,2011-08-30,0.18,1,65,0,
30931,Downtown Toronto - Waterview Condo,22795,Kathie & Larry,,Waterfront Communities-The Island,43.64015,-79.37625,Entire home/apt,127,180,1,2010-08-11,0.01,2,365,0,
40456,Downtown- King Size Bed and Parking,174063,Denis,,South Parkdale,43.63539,-79.4401,Entire home/apt,100,30,114,2022-01-29,0.81,4,285,2,
41887,Great location,183071,Kyle,,Oakridge,43.69464,-79.2852,Entire home/apt,70,28,86,2022-01-02,1.34,2,333,1,
42892,Downtown 3 Beds 2 Baths @ Union & Harbourfront,187320,Downtown Suite Living,,Waterfront Communities-The Island,43.6445,-79.38019,Entire home/apt,135,120,0,,,7,187,0,
43964,Bright entire 2-bedrm basement suite private entry,192364,Mitra,,Wexford/Maryvale,43.74922,-79.29188,Private room,100,2,35,2021-10-31,0.56,1,361,4,STR-2012-FMQPHC
44452,Yonge & Bloor Studio Skyline,195095,Urbano,,Rosedale-Moore Park,43.67193,-79.3859,Entire home/apt,119,28,61,2022-03-01,0.44,16,285,3,
44469,Yonge & Bloor 2 Bedroom Apartment,195095,Urbano,,Rosedale-Moore Park,43.67129,-79.38634,Private room,79,28,8,2017-08-27,0.06,16,337,0,
45399,Fountain View Studio - Eaton center,195095,Urbano,,Bay Street Corridor,43.66123,-79.38336,Entire home/apt,134,28,80,2022-02-28,0.58,16,267,2,
45453,Yonge & Bloor 2 Bedroom Master,195095,Urbano,,Rosedale-Moore Park,43.67128,-79.38422,Private room,99,28,9,2018-09-02,0.07,16,97,0,
45601,Marigold Gardens,188183,Simon,,South Riverdale,43.66218,-79.33038,Private room,50,28,0,,,1,365,0,
45893,Yonge & Bloor Lakeview Master BR,195095,Urbano,,Rosedale-Moore Park,43.6718,-79.38488,Private room,86,28,19,2021-08-09,0.14,16,247,1,
50110,Yorkville one bedroom Condo,195095,Urbano,,Church-Yonge Corridor,43.66899,-79.38559,Entire home/apt,123,28,57,2021-10-02,0.41,16,248,1,
51616,Large room in trendy King Street West.,237587,John,,Niagara,43.64296,-79.40451,Private room,55,91,24,2018-11-11,0.35,1,0,0,
64635,Furnished Heritage Rooms Downtown 2,304551,Kintoo,,Niagara,43.64482,-79.40897,Private room,45,58,11,2017-04-09,0.09,7,251,0,
64641,Furnished Heritage Rooms Downtown,304551,Kintoo,,Niagara,43.64453,-79.40736,Private room,40,58,18,2022-02-02,0.13,7,252,1,
65238,Zen South Facing Bedroom in Quiet Art-Filled Home,318911,Magali,,Palmerston-Little Italy,43.65863,-79.42543,Private room,79,28,68,2020-03-20,0.52,1,340,0,
69464,Yonge & Bloor one bedroom Condo,195095,Urbano,,Church-Yonge Corridor,43.66949,-79.38384,Entire home/apt,125,28,56,2020-09-09,0.42,16,265,0,
71118,Furnished Downtown Loft Suite,304551,Kintoo,,Niagara,43.64605,-79.4069,Private room,60,58,11,2018-08-18,0.08,7,271,0,
75051,"GreatSpace,Backyard, 5min to Subway",368707,Sandra,,Dufferin Grove,43.65767,-79.43242,Entire home/apt,149,28,273,2020-01-26,2.04,2,35,0,
82694,Luxury Hotel Downtown Living !!,431260,Caterina,,Niagara,43.64319,-79.40498,Entire home/apt,108,30,29,2016-09-23,0.22,1,292,0,
84076,A short walk to TIFF,544254,Darryl,,Niagara,43.64279,-79.40478,Entire home/apt,120,28,6,2018-08-20,0.06,1,0,0,
84151,North City View DT Apartment,195095,Urbano,,Rosedale-Moore Park,43.67138,-79.38424,Entire home/apt,160,28,24,2021-11-21,0.19,16,311,1,
89575,Private bedroom close to downtown,93825,Yohan & Sarah,,Briar Hill-Belgravia,43.6978,-79.45415,Private room,62,28,88,2019-10-24,0.70,2,365,0,
96336,John & Bren's Queen West 3 bedroom townhouse,511506,Brenda,,Niagara,43.64388,-79.41011,Entire home/apt,239,4,133,2022-03-20,1.30,1,2,10,STR-2009-FXRRPD
104096,Hip and modern family-friendly home,349172,Avery,,South Riverdale,43.66406,-79.32749,Entire home/apt,175,5,18,2019-08-03,0.14,1,127,0,STR-2012-HCVDVJ
112842,Gorgeous Condo near High Park!!,575127,Micheline,,High Park North,43.65703,-79.46719,Entire home/apt,66,120,12,2017-03-05,0.10,1,365,0,
119441,STYLISH  LAKEVIEW / KING SIZE BED/DOWNTOWN+PARKING,174063,Denis,,South Parkdale,43.63737,-79.44022,Entire home/apt,150,28,79,2021-11-13,0.60,4,361,1,
131401,WATERFRONT LUXURY SUITE - DOWNTOWN,604233,WaterfrontExecSuites,,Niagara,43.63743,-79.40104,Entire home/apt,59,365,10,2021-06-16,0.12,1,232,1,
146601,Modern 1BR Downtown - Blue Jays Way,436139,Brian,,Waterfront Communities-The Island,43.64584,-79.39051,Entire home/apt,103,14,8,2021-09-30,0.06,1,74,1,STR-2111-HPCXVK
148945,Downtown Toronto Near Lake Ontario,718884,John,,Waterfront Communities-The Island,43.64825,-79.36466,Private room,83,7,28,2022-03-01,0.22,1,338,1,STR-2010-FJCKPB
149420,Bloor West Village 1 Bedroom,666759,Jeannie,,High Park-Swansea,43.6466,-79.48742,Entire home/apt,80,28,37,2021-03-12,0.32,1,7,1,
154743,Downtown Yorkville Toronto,744412,Gloria,,Church-Yonge Corridor,43.67018,-79.38372,Entire home/apt,76,180,68,2022-02-28,0.53,1,341,1,
179578,Furnished 1+1 bed Condo Apartment,545074,Sohail,,Woburn,43.78196,-79.24634,Entire home/apt,80,28,0,,,2,0,0,
182573,Sunlit Separate Entrance Apartment,591649,Melissa,,Humewood-Cedarvale,43.68636,-79.42277,Entire home/apt,70,28,25,2020-12-31,0.20,2,236,0,
184784,2 bd Apt at Yonge & Bloor Yorkville,656777,Pere,,Church-Yonge Corridor,43.67005,-79.38372,Entire home/apt,199,180,62,2020-04-04,0.48,1,216,0,
192335,Studio Loft- 2 flr- Liberty Village,140602,Mario,,South Parkdale,43.63677,-79.42099,Entire home/apt,85,28,55,2020-03-02,0.43,1,0,0,
192860,"Modern, Clean & Quiet 2bd @ High Park",533496,Paul,,Junction Area,43.66492,-79.47384,Entire home/apt,135,3,111,2021-10-08,0.87,1,0,5,STR-2010-FPPDPC
196584,Spacious 1 Bedroom Suite on Subway Line!,957466,Karen,,Oakridge,43.69431,-79.28563,Entire home/apt,79,7,26,2022-02-04,0.38,1,222,7,STR-2012-HLWPHK
