id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
13358,Monthly (or Longer ) Designer One Bedroom Downtown,52116,Lynn,,West End,49.28201,-123.12669,Entire home/apt,85,30,433,2022-02-11,3.02,1,40,3,18-611603
13490,Vancouver's best kept secret,52467,Iris,,Kensington-Cedar Cottage,49.25622,-123.06607,Entire home/apt,150,30,92,2021-12-14,0.70,1,161,4,
14267,EcoLoft Vancouver,56030,Peter & Alison,,Kensington-Cedar Cottage,49.24922,-123.08139,Entire home/apt,150,3,34,2021-07-14,0.24,1,2,1,21-156500
16254,Close to PNE/Hastings Park Garden level suite,63238,Jason,,Hastings-Sunrise,49.27721,-123.04086,Entire home/apt,350,3,5,2019-08-19,0.11,1,365,0,19-162421
16611,"1 block to skytrain station, shops,restaurant,bank",58512,Q,,Grandview-Woodland,49.26339,-123.07145,Entire home/apt,100,30,3,2018-02-16,0.06,5,89,0,
17158,Vancouver 3br 3ba house 20min to DT,48673,Elaine,,Renfrew-Collingwood,49.25277,-123.03774,Entire home/apt,195,4,7,2021-09-29,0.05,1,0,2,18-573474
17765,"Central location, nice little apartment",68672,James,,Mount Pleasant,49.26132,-123.10845,Entire home/apt,94,5,203,2021-10-01,1.76,1,0,9,21-156705
18270,private rm in clean central 2BR apt,70437,Ran,,Mount Pleasant,49.26557,-123.096,Private room,51,30,118,2019-12-31,0.88,1,280,0,
18589,Commercial Drive B&B,71508,Sylvain & Alexis,,Grandview-Woodland,49.27569,-123.07057,Private room,94,1,403,2022-03-06,3.08,1,94,13,22-156002
18773,"Comfort Suite on Kits Beach + Netflix, and Youtube",72055,Dean,,Kitsilano,49.2733,-123.16457,Entire home/apt,299,2,19,2022-02-23,0.13,1,316,5,19-282973
