id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1591,Garden Suite-King-Ensuite,1748,Jeff,Victoria,Rockland,48.42128,-123.33932,Private room,179,1,3,2021-10-15,0.45,8,330,3,
19898,Duchess Suite,69729,Ryan,Victoria,Rockland,48.42515,-123.33977,Private room,279,2,0,,,1,0,0,
41168,"Burma Suite, Ocean Island Garden Suites",173169,Ocean Island Garden Suites,Victoria,James Bay,48.41333,-123.37065,Entire home/apt,159,1,43,2021-09-30,0.40,4,37,23,
54423,"Perfect Downtown Condo, free secure onsite Parking",254653,Pawlina And Martin,Victoria,Downtown,48.42151,-123.36383,Entire home/apt,85,30,66,2022-03-16,0.80,1,31,5,
83515,GALLERY B&B SUITE,455118,Celia,Salt Spring Island,Salt Spring Island,48.86282,-123.49976,Entire home/apt,154,2,71,2020-08-21,0.53,2,227,0,
116831,Harbor View Studio in Restored Heritage Building,590251,Agi & Marco,Victoria,Downtown,48.42852,-123.36961,Entire home/apt,132,1,454,2022-03-24,7.19,1,323,69,
185732,Romantic 2 bedroom private suite,880366,Peter,Highlands,Highlands,48.50617,-123.46399,Private room,199,1,52,2019-09-22,0.40,3,56,0,
193366,Tudor Cottage,937766,Sandra,Victoria,Rockland,48.42574,-123.3376,Entire home/apt,112,30,151,2022-02-01,1.23,1,299,2,
201427,Economical forest mountain getaway,880366,Peter,Highlands,Highlands,48.50467,-123.4625,Private room,69,1,52,2020-02-22,0.44,3,58,0,
201441,Deluxe quiet romantic escape,880366,Peter,Highlands,Highlands,48.50644,-123.46423,Private room,139,1,12,2019-07-26,0.15,3,56,0,
203416,Galiano Island Eagles Nest Retreat Cabin - Private,997424,Line Marie,Southern Gulf Islands,Southern Gulf Islands,48.86711,-123.35027,Entire home/apt,137,3,387,2022-03-10,3.39,2,0,36,
226028,Victoria LEED Home (upper floor),1178351,Allison,Victoria,Fernwood,48.42882,-123.35055,Entire home/apt,185,28,253,2021-11-19,1.98,2,344,6,
226030,LEED Home (main floor),1178351,Allison,Victoria,Fernwood,48.42684,-123.35082,Entire home/apt,275,28,8,2018-07-09,0.10,2,122,0,
239129,Executive inner city loft condo.,1208031,Haydee And Owen,Victoria,Downtown,48.42967,-123.36237,Entire home/apt,107,28,7,2017-07-01,0.06,1,240,0,
306192,Private Oceanfront Cottage,1574682,Norm & Pam,Sooke,Sooke,48.38375,-123.70692,Entire home/apt,175,5,74,2022-03-24,0.62,1,161,2,
330706,Sunset Suite★Heart of Downtown Sleeps 6 W/Parking,21376528,Coast & Host,Victoria,Downtown,48.42749,-123.36361,Entire home/apt,258,1,232,2022-03-25,5.09,6,207,51,
348606,Enjoy Pacific sunsets on the bay,1757713,Valerie,Victoria,Gonzales,48.40891,-123.33573,Entire home/apt,150,30,82,2022-01-31,0.78,1,105,4,
394086,A Great Hotel Alternative,1923756,Bobbie,Victoria,North Jubilee,48.4317,-123.32508,Private room,110,30,125,2021-09-10,1.03,2,332,1,
401073,Oceanside James Bay Heritage Suite #5,2001974,Martin,Victoria,James Bay,48.41107,-123.37675,Entire home/apt,80,28,17,2022-02-28,0.21,17,269,2,
405558,James Bay Menzies-Dallas Oceanside Suite #2,2001974,Martin,Victoria,James Bay,48.41263,-123.37702,Entire home/apt,77,28,25,2021-10-31,0.21,17,276,1,
410541,Brand New Suite with 10FT Ceilings Suite #3,2001974,Martin,Victoria,Fernwood,48.42611,-123.34047,Entire home/apt,66,28,23,2021-10-31,0.19,17,348,2,
410542,Rockland 1 Bedroom Suite Near Downtown,2001974,Martin,Victoria,Rockland,48.4249,-123.33928,Entire home/apt,67,28,16,2022-02-18,0.13,17,217,3,
416786,Renovated Townhouse Near Downtown,2001974,Martin,Victoria,Fernwood,48.42641,-123.34648,Entire home/apt,96,28,21,2022-01-01,0.18,17,335,4,
417778,A GREAT ALTERNATIVE TO A HOTEL,1923756,Bobbie,Victoria,North Jubilee,48.43183,-123.32669,Private room,120,30,90,2020-08-30,0.76,2,365,0,
455929,"Victoria Garden Estate, pool/hotub/staycation spot",2266499,Anna,North Saanich,North Saanich,48.67278,-123.46604,Entire home/apt,864,2,18,2022-03-27,0.32,1,269,7,
461498,Suite in Restored Heritage Property Suite #5,2001974,Martin,Victoria,Rockland,48.42416,-123.34062,Entire home/apt,67,28,25,2021-08-06,0.21,17,333,1,
461499,Large 2 Bedroom Suite Near Downtown Suite #8,2001974,Martin,Victoria,Fernwood,48.42598,-123.33982,Entire home/apt,93,28,34,2022-03-20,0.29,17,303,2,
463027,Oceanside Suite in James Bay #3,2001974,Martin,Victoria,James Bay,48.41292,-123.37774,Entire home/apt,63,28,22,2021-04-30,0.19,17,303,1,
472025,Bloom Organic B&B - Orchard Suite,2230573,Anna,Salt Spring Island,Salt Spring Island,48.9273,-123.57431,Private room,230,2,29,2021-10-05,0.32,1,333,6,
479450,"Beautiful, bright, great walks plus",2375062,John,Victoria,Oaklands,48.43936,-123.34842,Entire home/apt,135,30,63,2022-02-07,0.60,6,261,5,
514811,Waterfront Walks & Welcome Foodies,393956,Rhona,Saanich,Saanich,48.45215,-123.41781,Entire home/apt,80,2,212,2022-03-20,1.78,1,81,14,
515418,Brand New Luxury Renovation #1,2001974,Martin,Victoria,Fernwood,48.42619,-123.33986,Entire home/apt,90,28,10,2019-10-03,0.08,17,212,0,
528492,Victoria Harbour Penthouse @ Mermaid Wharf,2596667,Teresa,Victoria,Downtown,48.43019,-123.36862,Entire home/apt,199,3,18,2022-01-30,0.17,1,189,3,
555737,Charming Suite #1 in Fernwood,2733135,Leonard And Valerie,Victoria,Fernwood,48.43492,-123.34064,Entire home/apt,99,30,114,2021-10-24,1.39,3,256,4,
559726,High End Renovation Near Downtown #2,2001974,Martin,Victoria,Fernwood,48.42624,-123.34019,Entire home/apt,67,28,22,2022-02-28,0.19,17,275,2,
561477,Cabin at Swallow's Keep,2760576,Marcia,Southern Gulf Islands,Southern Gulf Islands,48.99371,-123.57915,Entire home/apt,158,3,370,2022-03-19,3.29,1,66,59,
571258,MEMORY LANE - ENTIRE PRIVATE APARTMENT,2811302,Sharon,Sooke,Sooke,48.38672,-123.72408,Entire home/apt,126,2,117,2022-02-27,1.00,1,321,18,
644821,Colorful and Arty Home,3227731,Ed,Saanich,Saanich,48.46888,-123.39617,Private room,59,1,54,2020-06-10,0.58,2,28,0,
660733,Large Renovated 2 Bedroom Suite  Near Downtown #4,2001974,Martin,Victoria,Fernwood,48.4259,-123.34022,Entire home/apt,93,28,19,2019-06-30,0.16,17,216,0,
665727,"Dragonfly Cottage -Central Location, Country Charm",3365210,Toula,Victoria,Fairfield,48.415833,-123.359558,Entire home/apt,170,28,31,2022-02-22,0.29,1,205,1,
666592,Renovated Studio Across From Ocean #6,2001974,Martin,Victoria,James Bay,48.41174,-123.37641,Entire home/apt,77,28,13,2020-09-24,0.14,17,333,0,
668372,Tidal Waters Guest Suite,3383275,Alyssa,View Royal,View Royal,48.45848,-123.42771,Entire home/apt,113,3,115,2022-02-26,1.02,1,126,16,
687407,Pender Island Oceanfront Cottage #2,3500087,Paul,Southern Gulf Islands,Southern Gulf Islands,48.7978,-123.30928,Entire home/apt,125,2,38,2022-03-04,0.36,1,3,8,
734855,Beautiful Family Character Home,3752740,Josie,Oak Bay,Oak Bay,48.42031,-123.31057,Entire home/apt,380,5,16,2021-08-19,0.15,1,0,1,
739975,"Cordova Bay Beach Suite, Oceanfront",3872067,Pam,Saanich,Saanich,48.51641,-123.36713,Entire home/apt,125,2,243,2021-08-21,2.12,1,116,3,
773339,"Condo Close to Beach, Golf & RRU",4080829,Rob & Angelika,Colwood,Colwood,48.40638,-123.50954,Entire home/apt,106,4,35,2021-09-12,0.38,3,102,7,
775220,Seastar Charming west coast escape.,4089253,Corinne,Juan de Fuca,Juan de Fuca,48.38136,-123.89777,Entire home/apt,456,2,221,2021-09-16,1.97,1,284,21,
775418,Modern guest suite 10 minutes to downtown,3988784,Firat,Esquimalt,Esquimalt,48.43236,-123.4141,Entire home/apt,83,1,50,2022-02-20,1.12,1,10,4,
784093,"Carriage House B&B - ""The Sun Room""",4134834,Dan & Naoko,Victoria,James Bay,48.4151,-123.36835,Private room,89,2,191,2022-03-07,1.71,3,238,6,
796027,"Lovely, Private Character Cottage",51269257,Chris,Saanich,Saanich,48.45587,-123.38733,Entire home/apt,95,6,21,2019-07-01,0.19,1,0,0,
811395,"Bright, Family Friendly home close to Down Town",1355904,Laurel,Saanich,Saanich,48.47011,-123.40666,Entire home/apt,299,5,28,2021-08-02,0.25,1,51,2,
823111,Ocean view suite close to Royal Road's University,4321402,Gerri,Colwood,Colwood,48.41901,-123.48414,Entire home/apt,90,4,178,2021-12-26,1.69,1,172,3,
863030,Captain's Quarters Cottage,4524615,Razali,Salt Spring Island,Salt Spring Island,48.76368,-123.45681,Entire home/apt,162,2,42,2020-12-13,0.39,1,0,0,
873616,Salish Sea Beach House,4589787,Shelley,North Saanich,North Saanich,48.635178,-123.405991,Entire home/apt,189,2,33,2022-03-26,0.33,1,285,5,
876406,Charming Sunny  Private Bungalow,4628474,Trish,Victoria,James Bay,48.4145,-123.37753,Entire home/apt,155,13,79,2022-03-01,0.76,1,199,5,
910427,Cedar Log Home Galiano Island,4883986,Robbie,Southern Gulf Islands,Southern Gulf Islands,48.88462,-123.33135,Entire home/apt,88,1,319,2022-03-28,5.42,1,263,85,
920656,Studio Cottage  @ French Beach.   No Cleaning Fee.,4948373,Ava & Marty,Juan de Fuca,Juan de Fuca,48.39447,-123.98135,Entire home/apt,120,1,556,2022-03-25,5.07,2,197,112,
936367,Cook St Village Suite,3967984,Nicole & Gilles,Victoria,Fairfield,48.41385,-123.34948,Entire home/apt,89,29,357,2022-03-16,3.23,1,127,2,
939467,Eagles Nest Oceanfront Galiano West Coast Home,997424,Line Marie,Southern Gulf Islands,Southern Gulf Islands,48.86649,-123.3509,Entire home/apt,686,5,31,2022-03-20,0.29,2,47,7,
955575,Galiano Cabin Hideaway,5111791,Helen,Southern Gulf Islands,Southern Gulf Islands,48.89011,-123.36244,Entire home/apt,195,2,236,2022-03-25,2.47,1,319,37,
973849,Renovated Suite in Rockland Area #7,2001974,Martin,Victoria,Fernwood,48.42535,-123.34216,Entire home/apt,67,28,7,2022-02-01,0.08,17,217,3,
985260,"Beachwood Cottage, quiet waterfront",5685155,Jeannie,Metchosin,Metchosin,48.39644,-123.49343,Entire home/apt,180,7,11,2017-06-14,0.10,1,144,0,
1015996,Character Oak Bay Home by the Sea,5326675,Sally,Oak Bay,Oak Bay,48.42141,-123.31723,Entire home/apt,545,3,40,2022-01-24,0.38,1,315,4,
1024578,2BR beautiful house book,1485479,Sherry,Saanich,Saanich,48.46382,-123.35931,Entire home/apt,91,3,59,2020-10-10,0.62,1,271,0,
1038822,Dallas Rd & Menzies James Bay Suite #1,2001974,Martin,Victoria,James Bay,48.41176,-123.37663,Entire home/apt,69,28,22,2021-12-22,0.21,17,302,1,
1055500,Carriage House B&B - Cottage,4134834,Dan & Naoko,Victoria,James Bay,48.41495,-123.36851,Private room,145,2,235,2022-02-25,2.16,3,248,30,
1079545,Sweet carriage house with private deck in Fernwood,5937743,Maggi,Victoria,Fernwood,48.43063,-123.3391,Entire home/apt,121,4,46,2022-01-01,0.43,1,32,8,
1080149,Foxglove Farm Classic Cottage B&B,5936608,Jeanne Marie,Salt Spring Island,Salt Spring Island,48.82409,-123.53024,Entire home/apt,275,3,64,2021-09-06,0.62,3,277,9,
1080266,Foxglove Farm Heritage Farmhouse B&B,5936608,Jeanne Marie,Salt Spring Island,Salt Spring Island,48.82412,-123.53071,Entire home/apt,295,3,58,2022-03-23,0.54,3,303,7,
1080594,Carriage House B&B - Carriage Room,4134834,Dan & Naoko,Victoria,James Bay,48.4165,-123.37011,Private room,103,2,223,2022-03-12,2.05,3,233,43,
1091391,Cute & Cozy 1bdr Condo in James bay,2989557,Sylvie,Victoria,James Bay,48.41973,-123.37587,Entire home/apt,72,28,31,2021-12-01,0.29,1,213,3,
1114544,Salt Spring Carriage House - The Loft,6116904,Sue,Salt Spring Island,Salt Spring Island,48.89496,-123.53323,Private room,190,2,19,2021-07-30,0.18,2,163,1,
1114575,Salt Spring Carriage House - Garden Room,6116904,Sue,Salt Spring Island,Salt Spring Island,48.89505,-123.53392,Private room,190,2,42,2022-03-27,0.73,2,187,10,
1135175,Small Double Room,6225439,Ocean Island Inn,Victoria,Downtown,48.42778,-123.36183,Private room,68,1,127,2022-03-21,1.20,8,122,22,
1156460,Stunning 3BD vacation retreat!,3687551,Rita,Oak Bay,Oak Bay,48.40879,-123.32144,Entire home/apt,411,3,19,2018-08-28,0.20,1,98,0,
1186607,Inlet Beach House Oceanfront Vacation Suite,6487007,Linda And Ken,North Saanich,North Saanich,48.67691,-123.48379,Entire home/apt,229,1,20,2021-11-30,0.20,1,132,1,
1194888,Small Double Room with Sink,6225439,Ocean Island Inn,Victoria,Downtown,48.42778,-123.36183,Private room,74,1,55,2022-03-15,0.52,8,122,20,
1244138,Private room in Central apartment.,6781810,Jocelyn,Saanich,Saanich,48.45099,-123.36285,Private room,55,28,124,2021-10-22,1.81,2,315,19,
1244164,"Central, 1 bedroom garden apartment",6781810,Jocelyn,Saanich,Saanich,48.45014,-123.3627,Private room,90,28,0,,,2,0,0,
1295158,Oceanfront Cottage Galiano Island,7042586,Andrea,Southern Gulf Islands,Southern Gulf Islands,48.87846,-123.32378,Entire home/apt,223,2,70,2022-03-15,0.97,1,220,12,
1298140,"Downtown Waterfront, Walk anywhere!",4273068,Agata,Victoria,Downtown,48.42884,-123.37016,Entire home/apt,81,2,472,2022-01-02,4.44,3,301,41,
1301515,Private suite in family home close to downtown,3316690,Patricia,Victoria,Hillside/Quadra,48.436863,-123.354698,Entire home/apt,120,3,111,2020-10-10,1.56,1,74,0,
1345737,Moss Street Garden Suite,7118418,Birute,Victoria,Fairfield,48.40669,-123.35122,Entire home/apt,145,30,65,2021-12-26,0.65,1,267,15,
1352981,Galiano Harbour View House,7344155,Erik,Southern Gulf Islands,Southern Gulf Islands,48.89775,-123.39765,Entire home/apt,274,2,225,2022-03-21,2.15,1,240,35,
1375505,"Lovely, cozy room in cottage",1788814,Em,Saanich,Saanich,48.45643,-123.38689,Private room,55,2,52,2019-10-22,0.50,1,2,0,
1393334,Cute and Cozy Space Downtown,5820187,Maeva,Victoria,James Bay,48.41733,-123.36941,Entire home/apt,150,30,209,2022-01-03,1.98,1,161,1,
1431103,Getaway By The Beach,7693415,Jordan,Juan de Fuca,Juan de Fuca,48.40681,-123.35487,Entire home/apt,69,30,71,2022-02-01,0.68,8,192,3,
1437207,City Centers Secret Garden Surprise.,7720692,Gary,Victoria,Burnside,48.4448,-123.37509,Entire home/apt,300,30,31,2021-12-30,0.34,1,238,5,
1438200,Whale Pod Chalet at Oaks Bluff  Whale watching,7725567,Kevin,Southern Gulf Islands,Southern Gulf Islands,48.75421,-123.26956,Entire home/apt,1250,3,55,2021-11-29,0.68,2,269,6,
1446069,A Country House in a Woodland B&B,6688464,Maureen,Salt Spring Island,Salt Spring Island,48.80827,-123.42976,Private room,126,3,47,2021-09-21,0.45,1,131,18,
1471669,Downtown Heritage Studio,7879272,Terry & Christie,Victoria,Downtown,48.42653,-123.36859,Entire home/apt,129,28,484,2021-10-01,5.16,1,8,31,
1507543,Fairfield/Oak Bay Garden Suite In Newer Home,6781982,John,Victoria,Gonzales,48.42371,-123.32627,Entire home/apt,60,30,0,,,2,0,0,
1535322,Wisteria Honeymoon Cottage - Angel Room,8187727,Gail,Sooke,Sooke,48.39252,-123.61752,Private room,149,2,16,2021-10-11,0.16,5,146,1,
1567449,Executive Suite,8337655,Lori,Saanich,Saanich,48.50248,-123.38874,Entire home/apt,200,7,1,2019-06-05,0.03,1,88,0,
1625194,Fully Equipped Downtown Condo,7637861,Major,Victoria,Downtown,48.42899,-123.3631,Entire home/apt,128,28,22,2022-02-14,0.24,1,67,3,
1636029,Raylia Cottage Farm Stay,8689202,Michele,Southern Gulf Islands,Southern Gulf Islands,48.84491,-123.27776,Entire home/apt,145,2,228,2022-03-14,2.42,1,236,55,
1656504,Cedar House on the Hill B&B,8781598,Rita & Manfred,Salt Spring Island,Salt Spring Island,48.83903,-123.49872,Entire home/apt,148,1,171,2019-09-29,1.65,1,87,0,
1672868,"A Happinest   A cozy, nest- like cabin on SSI, BC!",8855800,Ahappinest,Salt Spring Island,Salt Spring Island,48.83231,-123.49923,Entire home/apt,128,2,452,2022-03-15,4.46,1,221,80,
1683153,“The Loft” Private Studio Above Gordon's Beach,8731181,Janis,Juan de Fuca,Juan de Fuca,48.37641,-123.83955,Entire home/apt,137,2,140,2022-03-20,1.36,2,224,24,
1720832,Cob Cottage,9071324,Alexis,Southern Gulf Islands,Southern Gulf Islands,48.83109,-123.26071,Entire home/apt,200,2,607,2022-03-20,5.95,1,32,64,
1766713,"Oak Suite: spacious & bright, on the Woonerf!",2375062,John,Victoria,Oaklands,48.43814,-123.34926,Entire home/apt,255,30,39,2021-09-30,0.41,6,209,4,
1825544,Classic 1931 40-ft Wooden Yacht. 20HP Zodiac.,9430571,Nicholas,Sidney,Sidney,48.66661,-123.40765,Entire home/apt,195,5,24,2021-09-08,0.34,1,364,4,
1826554,2 bedroom 1 bathroom full kitchen private suite.,9557712,Dave,Sidney,Sidney,48.66379,-123.41148,Entire home/apt,149,2,136,2022-03-28,1.45,1,247,18,
1897071,New and Modern best location- Aria,9176808,Victoria Executive Rentals,Victoria,Downtown,48.4204,-123.36415,Entire home/apt,159,110,1,2021-03-25,0.08,26,301,0,
1897266,Two bed near Sandy Beach sought after location!,9176808,Victoria Executive Rentals,Saanich,Saanich,48.52214,-123.37171,Entire home/apt,119,6,8,2018-09-30,0.11,26,283,0,
1929683,B&B float home Ocean views .town1,3871629,Carene,Victoria,James Bay,48.42232,-123.38358,Private room,186,1,80,2021-08-13,0.88,3,245,7,
1948248,James Bay the Heart of Victoria,2697862,Brenda,Victoria,James Bay,48.42059,-123.38298,Entire home/apt,145,2,118,2021-10-11,1.21,2,303,4,
1993822,"VIEWS of Olympic Mts, Inner Harbour",10277435,Laura,Victoria,James Bay,48.41695,-123.3671,Entire home/apt,155,30,15,2022-01-17,0.16,1,143,4,
2015937,"Spacious, private island retreat",10368393,Farheen,Southern Gulf Islands,Southern Gulf Islands,48.84099,-123.25475,Entire home/apt,200,2,93,2022-03-08,0.96,1,43,6,
2027067,Magic Lamp on Saint Mary Lake,10412296,Tania,Salt Spring Island,Salt Spring Island,48.90042,-123.55017,Entire home/apt,140,2,125,2022-03-13,2.46,1,269,35,
2033520,West Shore Woodland Retreat,10438699,Nancy & Keith,Langford,Langford,48.45925,-123.48756,Entire home/apt,80,3,206,2022-01-15,2.36,1,195,32,
2060849,"Serenity at Stonehaven, Victoria BC",5418127,Amanda,Langford,Langford,48.47683,-123.52732,Entire home/apt,150,30,17,2021-11-01,0.17,1,153,1,
2128631,Macaulay Point Guest House,10860084,Andrew And Nancy,Esquimalt,Esquimalt,48.4165,-123.40392,Entire home/apt,109,28,681,2022-03-01,7.04,2,303,8,
2131218,Wisteria Cottage - 2 Rooms/1 Ensuite Bath,8187727,Gail,Sooke,Sooke,48.39394,-123.62053,Private room,205,2,19,2020-09-27,0.21,5,332,0,
2138626,Best location downtown! Modern and Chic! Superb!,9176808,Victoria Executive Rentals,Victoria,Fairfield,48.4216,-123.36149,Entire home/apt,242,4,28,2022-03-14,0.35,26,329,2,
2140350,"Cosy suite, close to university and downtown.",3631087,Robin,Victoria,Oaklands,48.44453,-123.34121,Entire home/apt,85,30,170,2021-07-18,1.74,1,205,3,
2149566,Ocean Oasis Country Escape-Scrupulously Clean,10970299,Tanya,Juan de Fuca,Juan de Fuca,48.37638,-123.84168,Entire home/apt,210,2,136,2022-03-24,1.45,3,220,19,
2188717,Charming Penthouse Studio in Old Town,11160710,Christian,Victoria,Downtown,48.42666,-123.3706,Entire home/apt,135,2,496,2022-02-27,5.12,1,266,39,
2198199,Williwaw Corner vacation home.,11189863,Jeff & Sallie,Juan de Fuca,Juan de Fuca,48.36179,-123.81329,Entire home/apt,200,3,117,2021-12-19,1.17,1,204,18,
