id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
53939088,"Luxurious house in convenient location, King Bed",77723885,Helena,,Waverley West,49.79949,-97.20148,Entire home/apt,327,3,3,2022-03-11,0.57,7,23,3,
568290702274958424,Stylish and comfy  apartment  | West Broadway,446410547,Catherine,,Fort Rouge - East Fort Garry,49.88602,-97.1573,Entire home/apt,82,1,33,2022-06-07,11.51,1,133,33,
619055238077546801,Lovely 1 bedroom unit with free parking on premise,245820392,Kurt,,St. Norbert - Seine River,49.80159,-97.13392,Entire home/apt,56,3,0,,,1,343,0,
49052189,Restful Downtown Studio in Winnipeg,184170702,Janice,,Fort Rouge - East Fort Garry,49.88968,-97.13913,Entire home/apt,59,5,22,2022-05-07,1.58,15,301,19,
36876819,Beautiful one bedrom apparentement,272132100,Mehari,,Fort Rouge - East Fort Garry,49.8889,-97.15171,Entire home/apt,119,1,0,,,1,179,0,
48871846,Luxury Corner Loft- 2BDRM 2BATH+24/7 Heated Prk,74203278,Roam Rentals,,Point Douglas,49.89898,-97.13669,Entire home/apt,114,2,28,2022-06-05,1.94,23,4,23,
35844492,Stylish 1BR|King bed|Gym+Roof|Downtown MTS Centre,194010985,Yang,,Daniel McIntyre,49.89338,-97.14439,Entire home/apt,125,3,92,2022-06-05,2.55,2,177,35,
610221185615002335,Lovely private condo: studio w laundry & parking,174076259,Evan,,Fort Rouge - East Fort Garry,49.86171,-97.14245,Entire home/apt,87,2,2,2022-05-03,1.50,1,323,2,
30443324,FREE BREAKFAST+HOTTUB+WINE*+QN BD1,110192366,Stay549,,Charleswood - Tuxedo - Westwood,49.85759,-97.27754,Private room,42,1,39,2022-05-03,0.95,6,170,16,
53883198,1 bedroom with full athletic and beautiful living,436464214,Kafayat,,Transcona,49.90905,-97.04885,Private room,55,1,12,2022-06-05,2.20,1,68,12,
32051838,Not listed anymore,240319765,Chris,,Elmwood - East Kildonan,49.93009,-97.09667,Private room,35,30,0,,,1,365,0,
9632927,Delightful home away from home,49126625,Krista,,St. Boniface,49.87222,-97.08576,Entire home/apt,110,2,97,2020-09-30,1.25,1,221,0,
596221151859656429,Great Location! Sun filled/Vibrant/Charm,445341632,Ashley,,Fort Rouge - East Fort Garry,49.85913,-97.13689,Entire home/apt,85,2,6,2022-05-29,4.62,1,136,6,
45831138,Academy & Wellington 6 beds/2 baths (Suite 2),69578822,MM Properties Wpg,,River Heights - Fort Garry,49.87556,-97.16514,Entire home/apt,191,5,14,2022-02-18,0.70,3,292,12,
19135087,close to rapid transit,95776055,Curtis,,Fort Rouge - East Fort Garry,49.86832,-97.13729,Entire home/apt,42,31,18,2022-04-30,0.30,18,196,2,
36570913,Come and make yourself at home,82120981,Mustaqeem,,Waverley West,49.81057,-97.15436,Private room,35,1,1,2019-09-30,0.03,1,179,0,
